EventName;CourtSurface
Australian Open;Hard Court
French Open;Clay
US Open;Hard Court
Wimbledon;Grass
Indian Wells;Hard Court
Acapulco;Hard Court
Adelaide;Hard Court
Antalya;Grass
Antwerp;Hard Court
Astana;Hard Court
Atlanta;Hard Court
Cup;
ATP Cup;Hard Court
Auckland;Hard Court
Barcelona;Clay
Basel;Hard Court
Bastad;Clay
Beijing;Hard Court
Belgrade;Hard Court
Brisbane;Hard Court
Budapest;Clay
Buenos Aires;Clay
Chengdu;Hard Court
Cincinnati;Hard Court
Cordoba;Clay
Dallas;Hard Court
Davis Cup - Group I;
Davis Cup - World Group;
Delray Beach;Hard Court
Doha;Hard Court
Dubai;Hard Court
Eastbourne;Grass
Estoril;Clay
Finals - Turin;Hard Court
Geneva;Clay
Gijon;Hard Court
Gstaad;Clay
Halle;Grass
Hamburg;Clay
Hertogenbosch;Grass
Hopman Cup;Clay
Houston;Clay
Istanbul;Clay
Kitzbuhel;Clay
Laver Cup;Hard Court
London;Grass
Los Cabos;Hard Court
Lyon;Clay
Madrid;Clay
Mallorca;Grass
Marrakech;Clay
Marseille;Hard Court
Metz;Hard Court
Miami;Hard Court
Monte Carlo;Clay
Montpellier;Hard Court
Montreal;Hard Court
Moscow;Hard Court
Munich;Clay
Newport;Grass
New York;Hard Court
Next Gen Finals - Jeddah;Hard Court
Olympic Games;
Paris;Hard Court
Pune;Hard Court
Quito;Clay
Rio de Janeiro;Clay
Rome;Clay
Rotterdam;Hard Court
San Diego;Hard Court
Santiago;Clay
Sao Paulo;Clay
Shanghai;Hard Court
Shenzhen;Hard Court
Sofia;Hard Court
Stockholm;Hard Court
St. Petersburg;Hard Court
Stuttgart;Grass
Sydney;Hard Court
Tokyo;Hard Court
Toronto;Hard Court
Umag;Clay
United Cup;Hard Court
Vienna;Hard Court
Washington;Clay
Winston-Salem;Hard Court
Zhuhai;Hard Court
